K,a,b,c,d,seed,obj
8,0.032890540167673336,1e-09,0.00044727375230632724,1e-09,0,-206217788.71619335
8,0.032890540167673336,1e-09,0.00044727375230632724,1e-08,0,-206217788.71631554
8,0.032890540167673336,1e-09,0.00044727375230632724,1e-07,0,-206217788.71753734
8,0.032890540167673336,1e-09,0.00044727375230632724,1e-06,0,-206217788.7297549
8,0.032890540167673336,1e-09,0.00044727375230632724,1e-05,0,-206217788.85192853
8,0.032890540167673336,1e-09,0.00044727375230632724,0.0001,0,-206217790.07366687
8,0.032890540167673336,1e-09,0.00044727375230632724,0.001,0,-206217802.2910423
8,0.032890540167673336,1e-09,0.00044727375230632724,0.01,0,-206217924.46408278
8,0.032890540167673336,1e-09,0.00044727375230632724,0.1,0,-206219146.1231136
8,0.032890540167673336,1e-09,0.00044727375230632724,1.0,0,-206229856.96432072
8,0.032890540167673336,1e-09,0.00044727375230632724,10.0,0,-206352378.25994506
8,0.032890540167673336,1e-09,0.00044727375230632724,100.0,0,-206888062.9030899
8,0.032890540167673336,1e-09,0.00044727375230632724,1000.0,0,-206858560.9611723
8,0.032890540167673336,1e-09,0.00044727375230632724,10000.0,0,-206784992.24601093
8,0.032890540167673336,1e-09,0.00044727375230632724,100000.0,0,-206754626.77131057
8,0.032890540167673336,1e-09,0.00044727375230632724,1000000.0,0,-206773782.2947861
8,0.032890540167673336,1e-09,0.00044727375230632724,10000000.0,0,-206778636.47942245
8,0.032890540167673336,1e-09,0.00044727375230632724,100000000.0,0,-206779633.54021886
8,0.032890540167673336,1e-09,0.00044727375230632724,1000000000.0,0,-206780180.94840387
8,0.032890540167673336,1e-08,0.00044727375230632724,1e-09,0,-206217788.71619317
8,0.032890540167673336,1e-08,0.00044727375230632724,1e-08,0,-206217788.7163153
8,0.032890540167673336,1e-08,0.00044727375230632724,1e-07,0,-206217788.71753734
8,0.032890540167673336,1e-08,0.00044727375230632724,1e-06,0,-206217788.72975457
8,0.032890540167673336,1e-08,0.00044727375230632724,1e-05,0,-206217788.8519284
8,0.032890540167673336,1e-08,0.00044727375230632724,0.0001,0,-206217790.07366675
8,0.032890540167673336,1e-08,0.00044727375230632724,0.001,0,-206217802.29104194
8,0.032890540167673336,1e-08,0.00044727375230632724,0.01,0,-206217924.4640827
8,0.032890540167673336,1e-08,0.00044727375230632724,0.1,0,-206219146.12311357
8,0.032890540167673336,1e-08,0.00044727375230632724,1.0,0,-206229856.96432078
8,0.032890540167673336,1e-08,0.00044727375230632724,10.0,0,-206352378.25994682
8,0.032890540167673336,1e-08,0.00044727375230632724,100.0,0,-206888062.90319803
8,0.032890540167673336,1e-08,0.00044727375230632724,1000.0,0,-206858560.96246558
8,0.032890540167673336,1e-08,0.00044727375230632724,10000.0,0,-206784992.2591878
8,0.032890540167673336,1e-08,0.00044727375230632724,100000.0,0,-206754626.90409702
8,0.032890540167673336,1e-08,0.00044727375230632724,1000000.0,0,-206773783.62185374
8,0.032890540167673336,1e-08,0.00044727375230632724,10000000.0,0,-206778649.7492063
8,0.032890540167673336,1e-08,0.00044727375230632724,100000000.0,0,-206779766.2331315
8,0.032890540167673336,1e-08,0.00044727375230632724,1000000000.0,0,-206791380.66502637
